Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Labels_char,PHID,PHIN,Formation_num,Formation_numsk,Pe_reg
3,A1 SH,SHRIMPLIN,2793.0,77.45,0.664,9.9,11.915,4.6,1,1.0,Nonmarine fine siltstone,6.964999999999999,16.865,1.0,1,3.1746604475832854
3,A1 SH,SHRIMPLIN,2793.5,78.26,0.6609999999999999,14.2,12.565,4.1,1,0.9790000000000001,Nonmarine fine siltstone,5.465,19.665,1.0,1,3.175834781127148
3,A1 SH,SHRIMPLIN,2794.0,79.05,0.6579999999999999,14.8,13.05,3.6,1,0.9570000000000001,Nonmarine fine siltstone,5.65,20.450000000000003,1.0,1,3.1598608987018313
3,A1 SH,SHRIMPLIN,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.9359999999999999,Nonmarine fine siltstone,6.165,20.065,1.0,1,3.134041083299069
3,A1 SH,SHRIMPLIN,2795.0,74.58,0.647,13.5,13.3,3.4,1,0.915,Nonmarine fine siltstone,6.550000000000001,20.05,1.0,1,3.157286336795326
3,A1 SH,SHRIMPLIN,2795.5,73.97,0.636,14.0,13.385,3.6,1,0.894,Nonmarine fine siltstone,6.385,20.384999999999998,1.0,1,3.1617861685944453
3,A1 SH,SHRIMPLIN,2796.0,73.72,0.63,15.6,13.93,3.7,1,0.872,Nonmarine fine siltstone,6.13,21.73,1.0,1,3.1532810213806712
3,A1 SH,SHRIMPLIN,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83,Nonmarine fine siltstone,5.67,22.17,1.0,1,3.1566588446678407
3,A1 SH,SHRIMPLIN,2797.0,73.79,0.624,16.2,13.98,3.4,1,0.809,Nonmarine fine siltstone,5.880000000000001,22.08,1.0,1,3.1581995243848224
3,A1 SH,SHRIMPLIN,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787,Nonmarine fine siltstone,5.770000000000001,22.67,1.0,1,3.1476110624987066
3,A1 SH,SHRIMPLIN,2798.0,76.11,0.6,14.8,13.375,3.6,1,0.7659999999999999,Nonmarine fine siltstone,5.975,20.775,1.0,1,3.1732580910968786
3,A1 SH,SHRIMPLIN,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745,Nonmarine fine siltstone,6.039999999999999,19.34,1.0,1,3.197912960452112
3,A1 SH,SHRIMPLIN,2799.0,71.87,0.561,11.3,12.475,3.5,1,0.723,Nonmarine fine siltstone,6.824999999999999,18.125,1.0,1,3.2071420716255004
3,A1 SH,SHRIMPLIN,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.7020000000000001,Nonmarine fine siltstone,8.28,21.58,1.0,1,3.0986285355572196
2,A1 SH,SHRIMPLIN,2800.0,90.1,0.519,14.3,16.555,3.2,1,0.6809999999999999,Nonmarine coarse siltstone,9.405,23.705,1.0,1,3.027971213534461
2,A1 SH,SHRIMPLIN,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638,Nonmarine coarse siltstone,10.06,21.86,1.0,1,3.0796344065787915
2,A1 SH,SHRIMPLIN,2801.0,69.3,0.43799999999999994,9.5,15.12,3.1,1,0.617,Nonmarine coarse siltstone,10.37,19.869999999999997,1.0,1,3.1283185034519887
2,A1 SH,SHRIMPLIN,2801.5,63.54,0.418,8.8,15.19,3.0,1,0.596,Nonmarine coarse siltstone,10.79,19.59,1.0,1,3.1413767399962387
2,A1 SH,SHRIMPLIN,2802.0,63.87,0.401,7.2,15.39,2.9,1,0.574,Nonmarine coarse siltstone,11.790000000000001,18.990000000000002,1.0,1,3.1267212910116102
2,A1 SH,SHRIMPLIN,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.5529999999999999,Nonmarine coarse siltstone,11.585,18.185,1.0,1,3.1613513483878495
2,A1 SH,SHRIMPLIN,2803.0,56.61,0.369,5.5,14.8,3.0,1,0.532,Nonmarine coarse siltstone,12.05,17.55,1.0,1,3.166490201768384
2,A1 SH,SHRIMPLIN,2803.5,55.97,0.35200000000000004,6.1,14.46,3.0,1,0.511,Nonmarine coarse siltstone,11.41,17.51,1.0,1,3.1896760791118077
2,A1 SH,SHRIMPLIN,2804.0,63.67,0.344,6.0,14.745,3.0,1,0.489,Nonmarine coarse siltstone,11.745,17.744999999999997,1.0,1,3.1597202235517217
2,A1 SH,SHRIMPLIN,2804.5,66.2,0.342,6.8,15.135,3.0,1,0.46799999999999997,Nonmarine coarse siltstone,11.735,18.535,1.0,1,3.143872549954462
2,A1 SH,SHRIMPLIN,2805.0,61.27,0.34600000000000003,6.1,15.48,3.0,1,0.447,Nonmarine coarse siltstone,12.43,18.53,1.0,1,3.13877630177171
3,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.40399999999999997,Nonmarine fine siltstone,11.775,17.575,1.0,1,3.146164118865329
3,A1 SH,SHRIMPLIN,2806.0,76.37,0.354,5.2,13.635,3.0,1,0.38299999999999995,Nonmarine fine siltstone,11.035,16.235,1.0,1,3.1654110627778813
2,A1 SH,SHRIMPLIN,2806.5,82.2,0.348,7.4,15.055,3.0,1,0.36200000000000004,Nonmarine coarse siltstone,11.355,18.755,1.0,1,3.1101773130485193
2,A1 SH,SHRIMPLIN,2807.0,90.25,0.34600000000000003,11.5,20.23,3.1,1,0.34,Nonmarine coarse siltstone,14.48,25.98,1.0,1,2.9130203624989894
2,A1 SH,SHRIMPLIN,2807.5,94.38,0.358,14.2,24.015,3.0,1,0.319,Nonmarine coarse siltstone,16.915,31.115000000000002,1.0,1,2.7688521741416556
2,A1 SH,SHRIMPLIN,2808.0,87.44,0.377,13.9,23.58,3.1,1,0.298,Nonmarine coarse siltstone,16.63,30.529999999999998,1.0,1,2.7990656157137277
2,A1 SH,SHRIMPLIN,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.27699999999999997,Nonmarine coarse siltstone,12.645,24.145,1.0,1,3.026523096954019
2,A1 SH,SHRIMPLIN,2809.0,64.72,0.439,10.3,13.815,3.1,1,0.255,Nonmarine coarse siltstone,8.665,18.965,1.0,1,3.2077667940568384
3,A1 SH,SHRIMPLIN,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.23399999999999999,Nonmarine fine siltstone,4.489999999999999,14.39,1.0,1,3.3986783190348846
3,A1 SH,SHRIMPLIN,2810.0,41.46,0.493,11.1,5.255,3.4,1,0.213,Nonmarine fine siltstone,-0.29499999999999993,10.805,1.0,1,3.6004996454519724
3,A1 SH,SHRIMPLIN,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17,Nonmarine fine siltstone,-0.7850000000000001,11.315,1.0,1,3.575940524795316
3,A1 SH,SHRIMPLIN,2811.0,72.79,0.5429999999999999,11.3,11.76,4.1,1,0.149,Nonmarine fine siltstone,6.109999999999999,17.41,1.0,1,3.254241404675809
3,A1 SH,SHRIMPLIN,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128,Nonmarine fine siltstone,10.614999999999998,24.715,1.0,1,2.9784243162313793
